,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
117,zhezkazgan,90,KZ,1580780080,92,15.8,47.8,67.71,6.71
118,kuldiga,47,LV,1580780081,80,30.2,56.97,21.96,1.12
119,iqaluit,90,CA,1580779722,77,3.2,63.75,-68.51,2.24
120,port lincoln,62,AU,1580779820,52,66.56,-34.73,135.87,11.74
121,tasiilaq,100,GL,1580779808,67,19.4,65.61,-37.64,12.75
122,turayf,0,SA,1580780082,81,42.8,31.67,38.66,13.87
123,goderich,100,CA,1580779845,81,39.0,43.75,-81.72,4.0
124,marathon,90,US,1580780082,50,33.8,44.9,-89.77,9.17
125,upernavik,0,GL,1580779827,77,-18.69,72.79,-56.15,7.36
126,nanortalik,33,GL,1580779837,60,31.93,60.14,-45.24,28.21
127,amga,99,RU,1580780083,92,-25.26,60.9,131.96,5.21
128,marabba,23,SD,1580780083,17,63.12,12.35,32.18,9.42
129,la rioja,37,ES,1580780083,93,50.0,42.25,-2.5,5.82
130,kahului,40,US,1580779581,51,82.4,20.89,-156.47,17.22
131,tsabong,5,BW,1580780083,24,74.98,-26.02,22.4,10.54
132,hailar,29,CN,1580780084,93,-20.45,49.2,119.7,6.44
133,visby,100,SE,1580780084,92,37.99,57.64,18.3,5.82
134,hami,0,CN,1580779810,66,14.65,42.8,93.45,3.22
135,luganville,90,VU,1580780084,100,78.8,-15.53,167.17,3.36
136,bathsheba,40,BB,1580779827,74,78.8,13.22,-59.52,12.75
137,micheweni,100,TZ,1580780085,83,80.91,-4.97,39.83,7.76
138,meulaboh,77,ID,1580780085,64,80.85,4.14,96.13,10.83
139,havre-saint-pierre,75,CA,1580780085,57,19.4,50.23,-63.6,13.87
140,manacapuru,40,BR,1580779889,83,80.6,-3.3,-60.62,3.36
141,sao joao da barra,100,BR,1580779805,85,77.5,-21.64,-41.05,18.99
142,soto la marina,100,MX,1580780086,78,69.6,23.77,-98.22,14.88
143,bud,90,US,1580779884,48,64.4,39.45,-86.18,13.87
144,edd,52,ER,1580780086,36,79.05,13.93,41.69,7.0
145,saint-augustin,100,CA,1580779839,77,22.93,51.23,-58.65,16.87
146,brasileia,100,BR,1580780086,88,75.81,-11.02,-68.75,2.17
147,uvalde,1,US,1580780087,77,68.0,29.37,-99.77,5.82
148,macenta,0,GN,1580780087,20,63.57,8.54,-9.47,1.25
149,avarua,100,CK,1580779805,83,82.4,-21.21,-159.78,8.05
150,nguruka,68,TZ,1580780087,97,63.86,-5.11,31.04,0.87
151,east london,29,ZA,1580779803,69,77.05,-33.02,27.91,2.95
152,praia,0,CV,1580779814,56,71.6,14.92,-23.51,18.34
153,buraydah,20,SA,1580780088,65,46.4,26.33,43.98,4.7
154,bayir,75,TR,1580780088,93,53.6,37.27,28.22,3.8
155,paldiski,0,EE,1580780088,74,30.2,59.36,24.05,10.29
156,jiangdu,0,CN,1580780088,72,53.01,32.43,119.56,1.99
157,nuevo progreso,100,MX,1580779849,85,70.0,23.17,-97.95,7.0
158,namibe,100,AO,1580779812,86,72.66,-15.2,12.15,5.53
159,arraial do cabo,75,BR,1580779790,83,78.8,-22.97,-42.03,10.29
160,ahipara,0,NZ,1580779817,67,88.0,-35.17,173.17,3.0
161,niltepec,100,MX,1580780089,73,71.17,16.57,-94.62,1.66
162,ankazoabo,10,MG,1580779870,75,67.95,-22.28,44.52,1.9
163,morro bay,1,US,1580780090,40,54.0,35.37,-120.85,10.29
164,kodiak,90,US,1580779798,93,39.2,57.79,-152.41,5.82
165,constitucion,0,CL,1580779794,94,58.73,-35.33,-72.42,4.9
166,ixtapa,90,MX,1580780090,94,70.0,20.7,-105.2,5.82
167,puerto ayora,75,EC,1580779652,58,86.0,-0.74,-90.35,13.87
168,takoradi,0,GH,1580780091,95,75.2,4.88,-1.76,1.81
169,port hardy,75,CA,1580779841,83,35.6,50.7,-127.42,3.36
170,rolla,1,US,1580779813,51,62.01,37.95,-91.77,9.17
171,hobart,75,AU,1580779591,33,64.0,-42.88,147.33,16.11
172,itarema,36,BR,1580779824,93,75.54,-2.92,-39.92,2.89
173,damaturu,77,NG,1580780091,17,62.69,11.75,11.96,8.1
174,palasa,47,IN,1580780092,75,72.48,18.77,84.42,2.75
175,yambio,65,SS,1580780092,36,66.94,4.57,28.4,3.58
176,harper,0,LR,1580779857,93,75.33,4.38,-7.72,3.78
177,bressuire,52,FR,1580780092,89,46.99,46.92,-0.5,3.0
178,pevek,100,RU,1580779801,97,-20.56,69.7,170.31,10.54
179,kanniyakumari,75,IN,1580780093,75,78.94,8.08,77.57,21.25
180,puerto escondido,5,MX,1580780036,74,80.6,15.85,-97.07,6.93
181,saskylakh,14,RU,1580779789,89,-25.31,71.92,114.08,9.55
182,ampanihy,0,MG,1580780093,63,72.25,-24.7,44.75,2.59
183,west fargo,1,US,1580779971,71,10.0,46.88,-96.9,4.7
184,ust-ilimsk,100,RU,1580780094,72,-7.51,58.0,102.66,6.73
185,baiyin,0,CN,1580780094,43,30.0,36.56,104.21,6.71
186,narsaq,100,GL,1580779880,59,32.0,60.92,-46.05,50.55
187,wawa,63,NG,1580780094,27,70.97,9.9,4.42,7.38
